UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
2785,L52016,L,302.1,311.1,1254,61.2,64,1,0,1,0,0,0
333,L47564,M,296.5,307.1,1770,52.7,144,0,0,0,0,0,0
3765,M17806,L,300.6,309.3,1582,38.7,115,0,0,0,0,0,0
8414,L47898,L,298.7,309.6,1382,65.8,100,0,0,0,0,0,0
993,L48952,L,298.5,308,1425,40.3,144,0,0,0,0,0,0
4043,L52112,H,300.9,311.1,1487,41.3,122,0,0,0,0,0,0
1508,H29874,L,300.9,308.4,1751,38.2,124,0,0,0,0,0,0
2163,M17957,L,298.8,308.8,1997,14.1,47,0,0,0,0,0,0
9394,M23389,L,298.7,307.1,1474,47.4,119,0,0,0,0,0,0
4349,L48968,L,303.4,311.6,1420,47.8,39,0,0,0,0,0,0
4142,H30489,L,298.7,312.7,1768,27.9,173,0,0,0,0,0,0
9040,L56873,L,297.8,309.3,1415,39.6,105,0,0,0,0,0,0
7121,M22723,L,300.5,310.4,1387,36.4,186,0,0,0,0,0,0
734,M23193,L,299.4,309.1,1510,47.5,62,0,0,0,0,0,0
5662,L53839,L,301.5,310.5,1673,25.5,116,0,0,0,0,0,0
1033,L50756,M,299,311.2,1666,39.2,46,0,0,0,0,0,0
2278,H30468,L,297.8,309.6,1375,49.2,209,0,0,0,0,0,0
4752,L52780,L,303.9,312.6,2080,20.8,129,0,0,0,0,0,0
1366,M17756,L,298.5,306.7,1498,15.4,8,0,0,0,0,0,0
7813,L55227,L,300.7,312.3,1590,38.7,19,0,0,0,0,0,0
7710,M24677,L,301.6,310.3,1526,39.1,12,0,0,0,0,0,0
3816,L47633,L,298.4,308.1,2638,16.2,143,0,0,0,0,0,0
3377,L49685,M,302.6,311.4,1594,29.7,20,0,0,0,0,0,0
9339,L56876,L,298.5,308.2,1355,61.3,104,0,0,0,0,0,0
8972,L55707,M,297,309.2,1653,32.9,103,0,0,0,0,0,0
7238,L47784,M,301.4,309.4,1376,47.9,103,0,0,0,0,0,0
7932,M22859,M,299,311,1727,28.1,72,0,0,0,0,0,0
7033,M17483,H,297.6,311.2,1423,46.5,149,0,0,0,0,0,0
1444,L50747,L,297,307.7,1772,14.2,116,0,0,0,0,0,0
308,L47949,L,296.8,307.3,1479,36.8,146,0,0,0,0,0,0
10,M15404,L,295.5,308.2,1614,35.6,150,0,0,0,0,0,0
5756,L53973,L,302.9,310.4,1730,26.1,220,0,0,0,0,0,0
7936,L50759,M,300.4,309.5,1292,48.1,56,0,0,0,0,0,0
2073,H31629,L,299.2,309.4,1310,45.2,36,0,0,0,0,0,0
3968,M22996,L,300.1,311.3,1399,35.5,60,0,0,0,0,0,0
6206,L53849,L,300.6,311.5,1730,26.8,127,0,0,0,0,0,0
