Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Power
L,276,316,1244,15,192,29575
H,333,302,1925,77,32,12799
M,286,311,2678,80,50,15481
H,338,301,2214,34,245,90977
M,271,307,1279,5,34,63926
M,267,313,1852,51,162,48434
M,328,318,2047,15,17,89995
H,267,315,1864,44,249,72866
H,339,303,1355,64,217,16612
L,319,307,1920,41,160,18047
M,285,305,1694,75,20,58619
M,323,302,2228,11,143,47050
L,312,308,2869,78,157,34999
H,296,303,1134,13,218,98603
M,306,318,2245,12,61,58524
M,277,316,2547,60,14,52069
L,314,305,2373,15,234,72233
M,257,302,1358,29,154,24317
M,269,312,2782,50,17,41547
H,301,300,2854,18,100,34097
H,282,313,2719,51,93,74500
H,300,312,2501,12,134,78240
H,281,302,2367,5,155,96884
H,329,319,2609,74,77,16203
L,280,314,2782,31,83,64792
H,305,308,2558,22,180,88862
L,290,315,2099,36,203,99855
H,320,304,2338,73,212,16649
H,293,317,1993,50,55,19048
H,346,313,2277,70,84,95448
M,292,310,1564,50,188,37238
H,294,301,1746,11,154,18375
L,321,320,1331,15,5,30766
L,308,316,1432,7,62,52085
L,347,302,2200,65,192,17155
L,341,317,1246,79,244,71198
L,261,317,2216,62,46,68548
M,335,313,2443,71,95,68262
M,288,311,2041,74,249,27910
L,263,318,2019,43,135,84040
L,289,311,2679,62,72,34201
H,333,309,2344,7,17,62090
L,272,306,2837,57,185,80618
M,283,312,2355,27,139,88379
L,254,317,1284,35,191,63303
L,259,305,1741,41,77,73442
L,284,320,1447,48,45,99538
L,268,316,1532,31,18,98229
M,339,309,2667,72,11,26056
L,312,313,1524,8,250,85162
M,342,313,1477,7,40,96872
M,283,310,2917,13,140,78845
H,305,315,2148,27,208,80885
L,268,304,2286,19,129,61757
L,277,307,1248,63,62,55204
H,337,305,2227,48,119,31959
L,321,315,2059,19,71,28188
M,348,303,2622,16,151,31745
M,324,317,1709,39,195,99362
L,345,314,2559,79,193,51498
L,320,305,1271,54,208,12717
L,254,319,2509,46,143,43502
H,305,318,1801,24,31,45389
M,320,304,1594,10,198,50533
M,267,313,1495,65,3,22051
H,296,315,1961,64,3,55054
M,298,312,2193,7,125,54327
M,332,304,2236,29,49,19990
L,259,302,1867,34,91,53233
H,321,312,2036,66,25,46834
H,349,300,2473,25,89,59873
L,307,307,2756,27,247,43982
L,328,319,1863,39,22,96692
M,261,316,1887,46,5,27324
M,345,310,2053,35,127,82375
M,253,311,2466,6,172,24831
L,297,304,1852,52,39,79858
M,307,304,1776,74,24,66525
M,266,320,1229,8,54,99388
H,329,304,2672,80,87,49667
L,267,312,2482,13,214,85698
M,321,306,2177,78,8,40313
H,330,313,2097,78,1,45484
M,281,309,2547,75,195,68736
L,263,319,1761,24,72,46673
M,265,311,1146,45,163,80627
L,255,309,2286,32,162,67728
L,292,310,2118,60,127,94964
L,298,314,2536,13,43,44000
L,310,319,2981,44,40,97594
M,307,306,2286,67,50,50233
H,264,308,1112,79,7,79641
M,314,300,1825,40,87,97184
H,337,302,1317,77,133,92562
L,312,304,1925,69,69,64987
H,297,301,1229,51,69,65286
M,306,313,2619,39,188,79495
L,293,309,2715,66,224,12284
H,311,301,2343,59,209,16756
H,279,319,1450,62,189,76161
H,331,318,2680,54,178,23699
L,326,308,2360,79,13,92448
M,300,312,1706,79,171,56729
H,334,319,2073,27,74,47939
L,262,320,2052,3,55,60095
M,305,311,1339,58,131,19729
L,323,317,2375,5,19,62109
M,262,305,1523,22,209,26409
M,321,309,1389,20,41,87636
L,316,306,2138,25,115,61181
M,275,305,1290,16,103,58422
H,275,304,2297,32,205,44699
H,327,314,1609,20,210,53147
L,328,313,2627,20,105,33853
L,339,304,2597,35,11,46492
H,317,317,1515,67,171,44569
M,347,308,1289,35,204,44877
H,347,308,1226,5,227,50767
L,259,320,2595,7,136,24643
L,348,300,2533,22,146,92018
L,274,302,1450,56,126,41464
L,293,306,2908,68,101,26899
H,278,319,2356,68,84,22994
M,339,307,1591,43,77,40479
L,252,312,1249,20,205,73581
M,311,320,2687,65,103,80689
M,322,318,1808,70,221,26874
